Movie name,Movie rate,Description,Creators,Trailer link,More Info
Now You See Me: Now You Don't,0.0,"The Four Horsemen return along with a new generation of illusionists performing mind-melding twists, turns, surprises, and magic unlike anything ever captured on film.",Ruben Fleischer,https://www.youtube.com/watch?v=uogrgIasYcA,https://www.themoviedb.org/movie/425274
Totally Killer,6.812,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.",Nahnatchka Khan,https://www.youtube.com/watch?v=5vYipYSDhtQ,https://www.themoviedb.org/movie/974931
Sin City: A Dame to Kill For,6.4,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,"Frank Miller, Robert Rodriguez",https://www.youtube.com/watch?v=XVjDcUCui0w,https://www.themoviedb.org/movie/189
Fountain of Youth,6.338,"A treasure-hunting mastermind assembles a team for a life-changing adventure. But to outwit and outrun threats at every turn, he'll need someone even smarter than he is: his estranged sister.",Guy Ritchie,https://www.youtube.com/watch?v=-7S28bH8iDs,https://www.themoviedb.org/movie/1098006
Hunt the Wicked,6.8,"The film tells the story of narcotics police officer Huang Mingjin and the ""mysterious figure"" Wei Yunzhou. Through completely different means and methods, in the process of calculating and wrestling with each other, they tear apart the facade of urban tranquility, exposing the underground drug network woven by the hidden hand ""Long Wang"", and ultimately eradicate the darkness with the sword of justice, revealing the dawn of light.",Chris Huo,https://www.youtube.com/watch?v=4xkxRFjP0t0,https://www.themoviedb.org/movie/1240475
Gran Turismo,7.744,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,Neill Blomkamp,https://www.youtube.com/watch?v=ZCYHn8mvyF8,https://www.themoviedb.org/movie/980489
A Clockwork Orange,8.185,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",Stanley Kubrick,https://www.youtube.com/watch?v=T54uZPI4Z8A,https://www.themoviedb.org/movie/185
Wrong Turn,6.4,"Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.",Rob Schmidt,https://www.youtube.com/watch?v=naUUyD-_oPc,https://www.themoviedb.org/movie/9902
Mission: Impossible - Ghost Protocol,7.105,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",Brad Bird,https://www.youtube.com/watch?v=7wkih9Yvxq0,https://www.themoviedb.org/movie/56292
Miami Vice: Brother's Keeper,8.0,Miami detective Sonny Crockett reluctantly teams with New York City cop Rico Tubbs when both of them end up pursuing a drug dealer who killed their respective partners.,Thomas Carter,N/A,https://www.themoviedb.org/movie/126341
The Bourne Identity,7.469,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",Doug Liman,https://www.youtube.com/watch?v=PGKK5wACwrU,https://www.themoviedb.org/movie/2501
Death Race,6.285,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",Paul W. S. Anderson,https://www.youtube.com/watch?v=C8bxcJZrus0,https://www.themoviedb.org/movie/10483
Blink Twice,6.685,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",Zoë Kravitz,https://www.youtube.com/watch?v=jmCCQ80iAf8,https://www.themoviedb.org/movie/840705
Crossword Mysteries: Proposing Murder,7.6,"When an old friend of New York Sentinel Crosswords editor Tess Harper is found murdered on the very day her puzzle includes his proposal of marriage, Tess unofficially teams up with Detective Logan O’Connor to find the killer.",Don McCutcheon,https://www.youtube.com/watch?v=XkAQbEUFdAY,https://www.themoviedb.org/movie/639254
Terrifier 2,6.708,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Damien Leone,https://www.youtube.com/watch?v=x5DhuDSArTI,https://www.themoviedb.org/movie/663712
Azrael,5.984,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",E.L. Katz,https://www.youtube.com/watch?v=-kKSxFDcwKw,https://www.themoviedb.org/movie/1029235
Sacred 2,6.2,"A group of young people from Jakarta left for Cirebon with different destinations. Arla, Jojo, and Maura want to do research on their final assignment, which is assisted by a documentary filmmaker named Umay. Meanwhile, Ajil and Keanu are horror YouTubers who create content to maintain their existence. Their journey becomes wild and uncontrollable after meeting Ute, an indigo who has a secret agenda.",Monty Tiwa,https://www.youtube.com/watch?v=AptTON0OSiI,https://www.themoviedb.org/movie/835294
Brave,7.021,"In the mystical Scottish Highlands, Merida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Merida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Merida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Merida's quest — and serving as comic relief — are the kingdom's three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","Mark Andrews, Brenda Chapman",https://www.youtube.com/watch?v=TEHWDA_6e3M,https://www.themoviedb.org/movie/62177
Acquitted by Faith,5.0,Attorney Benjamin Stills is nearly sentenced to prison and finds faith in God after killing a teenage girl in an accidental car crash from texting while driving.,Daniel Lusko,https://www.youtube.com/watch?v=aF4JGDmajQ0,https://www.themoviedb.org/movie/669384
Children of the Corn II: The Final Sacrifice,4.73,"When a tabloid reporter and his son travel to a quiet Midwestern town to investigate a gruesome massacre, they fall victim to a possessed orphan named Micah.",David Price,https://www.youtube.com/watch?v=bsYaPp3UDCw,https://www.themoviedb.org/movie/25748
The Little Mermaid,7.348,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,"John Musker, Ron Clements",https://www.youtube.com/watch?v=J0KsXGZ6y8s,https://www.themoviedb.org/movie/10144
Descendent,5.743,"After a traumatic brain injury triggers terrifying visions of extraterrestrials and a newfound talent for drawing, a father-to-be begins to question his reality and becomes obsessed with the need to protect his family from an unseen threat.",Peter Cilella,https://www.youtube.com/watch?v=HC1QwsXuO6E,https://www.themoviedb.org/movie/1422052
Nudus,7.0,"As she awakens from a prolonged coma, a woman is shocked to learn all the details of her life her captors her captors have access to.",Gibrán Bazán,N/A,https://www.themoviedb.org/movie/1268870
Utopia,5.5,"A soldier searching for his missing wife breaks into a high-tech facility, believing she's been caught in a human trafficking ring. But beyond its walls, he finds a surreal, futuristic fantasy park where reality and illusion blur. As he navigates this seductive and dangerous world, a shocking truth pulls him deeper into a deadly game where nothing is as it seems.",James Bamford,https://www.youtube.com/watch?v=Jz9YG3xGXOw,https://www.themoviedb.org/movie/1379587
Aquaman,6.875,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",James Wan,https://www.youtube.com/watch?v=2wcj6SrX4zw,https://www.themoviedb.org/movie/297802
Blue Lagoon: The Awakening,6.443,Two high school students become stranded on a tropical island and must rely on each other for survival. They learn more about themselves and each other while falling in love.,"Jake Newsome, Mikael Salomon",https://www.youtube.com/watch?v=0pMqAbdvrfo,https://www.themoviedb.org/movie/115290
